"Time Stamp",WR_WR_COMBINED_R0,WR_WR_COMBINED_16,WR_WR_COMBINED_Act,WR_WR_COMBINED_CUF,WR_WR_COMBINED_AVC,"WR_WR_SOLAR _R0","WR_WR_SOLAR _16","WR_WR_SOLAR _Act","WR_WR_SOLAR _CUF","WR_WR_SOLAR _AVC","WR_WR_WIND _R0","WR_WR_WIND _16","WR_WR_WIND _Act","WR_WR_WIND _CUF","WR_WR_WIND _AVC",WR-ISTS_WR-ISTS_COMBINED_R0,WR-ISTS_WR-ISTS_COMBINED_16,WR-ISTS_WR-ISTS_COMBINED_Act,WR-ISTS_WR-ISTS_COMBINED_CUF,WR-ISTS_WR-ISTS_COMBINED_AVC,"WR-ISTS_WR-ISTS_SOLAR _R0","WR-ISTS_WR-ISTS_SOLAR _16","WR-ISTS_WR-ISTS_SOLAR _Act","WR-ISTS_WR-ISTS_SOLAR _CUF","WR-ISTS_WR-ISTS_SOLAR _AVC","WR-ISTS_WR-ISTS_WIND _R0","WR-ISTS_WR-ISTS_WIND _16","WR-ISTS_WR-ISTS_WIND _Act","WR-ISTS_WR-ISTS_WIND _CUF","WR-ISTS_WR-ISTS_WIND _AVC","Madhya Pradesh_Madhya Pradesh_SOLAR _R0","Madhya Pradesh_Madhya Pradesh_SOLAR _16","Madhya Pradesh_Madhya Pradesh_SOLAR _Act","Madhya Pradesh_Madhya Pradesh_SOLAR _CUF","Madhya Pradesh_Madhya Pradesh_SOLAR _AVC","Madhya Pradesh_Madhya Pradesh_WIND _R0","Madhya Pradesh_Madhya Pradesh_WIND _16","Madhya Pradesh_Madhya Pradesh_WIND _Act","Madhya Pradesh_Madhya Pradesh_WIND _CUF","Madhya Pradesh_Madhya Pradesh_WIND _AVC","Maharastra_Maharastra_SOLAR _R0","Maharastra_Maharastra_SOLAR _16","Maharastra_Maharastra_SOLAR _Act","Maharastra_Maharastra_SOLAR _CUF","Maharastra_Maharastra_SOLAR _AVC","Maharastra_Maharastra_WIND _R0","Maharastra_Maharastra_WIND _16","Maharastra_Maharastra_WIND _Act","Maharastra_Maharastra_WIND _CUF","Maharastra_Maharastra_WIND _AVC","Gujarat_Gujarat_SOLAR _R0","Gujarat_Gujarat_SOLAR _16","Gujarat_Gujarat_SOLAR _Act","Gujarat_Gujarat_SOLAR _CUF","Gujarat_Gujarat_SOLAR _AVC","Gujarat_Gujarat_WIND _R0","Gujarat_Gujarat_WIND _16","Gujarat_Gujarat_WIND _Act","Gujarat_Gujarat_WIND _CUF","Gujarat_Gujarat_WIND _AVC",OKWPL_RE-WIND_WIND_R0,OKWPL_RE-WIND_WIND_16,OKWPL_RE-WIND_WIND_Act,OKWPL_RE-WIND_WIND_CUF,OKWPL_RE-WIND_WIND_AVC,Acme_RUMS-SOLAR_SOLAR_R0,Acme_RUMS-SOLAR_SOLAR_16,Acme_RUMS-SOLAR_SOLAR_Act,Acme_RUMS-SOLAR_SOLAR_CUF,Acme_RUMS-SOLAR_SOLAR_AVC,Arinsun_RUMS-SOLAR_SOLAR_R0,Arinsun_RUMS-SOLAR_SOLAR_16,Arinsun_RUMS-SOLAR_SOLAR_Act,Arinsun_RUMS-SOLAR_SOLAR_CUF,Arinsun_RUMS-SOLAR_SOLAR_AVC,Mahindra_RUMS-SOLAR_SOLAR_R0,Mahindra_RUMS-SOLAR_SOLAR_16,Mahindra_RUMS-SOLAR_SOLAR_Act,Mahindra_RUMS-SOLAR_SOLAR_CUF,Mahindra_RUMS-SOLAR_SOLAR_AVC,RPL_SECI-II_RE-WIND_WIND_R0,RPL_SECI-II_RE-WIND_WIND_16,RPL_SECI-II_RE-WIND_WIND_Act,RPL_SECI-II_RE-WIND_WIND_CUF,RPL_SECI-II_RE-WIND_WIND_AVC,GIWEL_SECI-II_RE-WIND_WIND_R0,GIWEL_SECI-II_RE-WIND_WIND_16,GIWEL_SECI-II_RE-WIND_WIND_Act,GIWEL_SECI-II_RE-WIND_WIND_CUF,GIWEL_SECI-II_RE-WIND_WIND_AVC,IWISL-WIND_WIND_R0,IWISL-WIND_WIND_16,IWISL-WIND_WIND_Act,IWISL-WIND_WIND_CUF,IWISL-WIND_WIND_AVC,GIWEL_SECI-III_RE-WIND_WIND_R0,GIWEL_SECI-III_RE-WIND_WIND_16,GIWEL_SECI-III_RE-WIND_WIND_Act,GIWEL_SECI-III_RE-WIND_WIND_CUF,GIWEL_SECI-III_RE-WIND_WIND_AVC,AGEMPL-WIND_WIND_R0,AGEMPL-WIND_WIND_16,AGEMPL-WIND_WIND_Act,AGEMPL-WIND_WIND_CUF,AGEMPL-WIND_WIND_AVC
00:00,2068,1940,1856,9.25,20073,0,0,15,0.26,5788,2068,1940,1841,12.89,14285,334,312,326,16.31,1999,0,0,0,0,750,334,312,326,26.1,1249,0,0,1,0.07,1445,251,196,342,14.18,2412,0,0,13,0.97,1345,519,497,436,10,4359,0,0,1,0.04,2248,965,935,737,11.76,6265,63.19,52.76,65.26,27.42,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,71.37,50.31,58.47,31.69,184.5,54.7,52.57,51.32,20.53,250,34.44,35.52,32.26,21.51,150,56.56,61.94,62.09,23.47,264.6,53.67,59.21,56.32,34.72,162.2
00:15,2069,1916,1904,9.48,20077,0,0,14,0.24,5788,2069,1916,1890,13.23,14289,327,306,347,17.32,2004,0,0,0,0,750,327,306,347,27.67,1254,0,0,1,0.07,1445,271,196,373,15.46,2412,0,0,12,0.89,1345,511,484,435,9.98,4359,0,0,1,0.04,2248,960,930,735,11.73,6265,61.74,51.69,66.41,27.9,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,71.27,50.26,65.34,35.41,184.5,53.2,51.42,55.28,22.11,250,33.84,34.84,33.43,22.29,150,54.64,59.74,67.08,25.35,264.6,52.27,57.62,59.65,35.85,166.4
00:30,2080,1907,1934,9.63,20077,0,0,14,0.24,5788,2080,1907,1920,13.44,14289,321,299,344,17.17,2004,0,0,0,0,750,321,299,344,27.43,1254,0,0,1,0.07,1445,292,205,392,16.25,2412,0,0,12,0.89,1345,507,473,425,9.75,4359,0,0,1,0.04,2248,960,930,760,12.13,6265,60.37,50.67,64.29,27.01,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,71.18,50.2,53.4,28.94,184.5,51.84,50.28,56.55,22.62,250,33.3,34.2,35.54,23.69,150,53.13,57.6,70.21,26.53,264.6,50.91,56.11,63.62,38.23,166.4
00:45,2092,1914,1990,9.91,20077,0,0,14,0.24,5788,2092,1914,1977,13.84,14289,315,293,343,17.12,2004,0,0,0,0,750,315,293,343,27.35,1254,0,0,1,0.07,1445,321,235,394,16.33,2412,0,0,12,0.89,1345,506,464,439,10.07,4359,0,0,1,0.04,2248,950,921,800,12.77,6265,59.1,49.72,61.91,26.01,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,71.08,50.14,41.39,22.43,184.5,50.68,49.14,60.03,24.01,250,32.81,33.6,35.88,23.92,150,52.04,55.82,76.67,28.98,264.6,49.6,54.65,67.32,40.46,166.4
01:00,2117,1942,2095,10.43,20077,0,0,14,0.24,5788,2117,1942,2081,14.56,14289,311,288,351,17.51,2004,0,0,0,0,750,311,288,351,27.99,1254,0,0,1,0.07,1445,354,280,415,17.21,2412,0,0,12,0.89,1345,507,457,460,10.55,4359,0,0,1,0.04,2248,946,918,855,13.65,6265,57.94,48.89,59.54,25.02,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,70.95,50.07,42.52,23.05,184.5,49.68,48.04,63.56,25.42,250,32.36,33.02,37.69,25.13,150,51.52,54.36,80.82,30.54,264.6,48.37,53.23,66.39,39.9,166.4
01:15,2149,1978,2196,10.94,20077,0,0,14,0.24,5788,2149,1978,2182,15.27,14289,307,283,356,17.76,2004,0,0,0,0,750,307,283,356,28.39,1254,0,0,1,0.07,1445,391,328,476,19.73,2412,0,0,12,0.89,1345,508,452,463,10.62,4359,0,0,1,0.04,2248,943,915,888,14.17,6265,57.03,48.18,60.77,25.53,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,70.83,50,53.43,28.96,184.5,48.84,47.05,57.87,23.15,250,31.92,32.47,39.67,26.45,150,51.55,53.21,71.5,27.02,264.6,47.19,51.85,72.41,43.52,166.4
01:30,2167,1930,2199,10.95,20077,0,0,14,0.24,5788,2167,1930,2185,15.29,14289,305,326,342,17.07,2004,0,0,0,0,750,305,326,342,27.27,1254,0,0,1,0.07,1445,425,380,517,21.43,2412,0,0,12,0.89,1345,507,488,452,10.37,4359,0,0,1,0.04,2248,931,736,874,13.95,6265,56.53,61.83,59.44,24.97,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,70.7,65.16,55.78,30.23,184.5,48.15,51.15,51.16,20.46,250,31.43,30.96,39.44,26.29,150,52.18,61.73,62.27,23.53,264.6,45.99,54.83,73.7,44.29,166.4
01:45,2200,1928,2133,10.62,20077,0,0,14,0.24,5788,2200,1928,2119,14.83,14289,304,320,343,17.12,2004,0,0,0,0,750,304,320,343,27.35,1254,0,0,1,0.07,1445,457,385,501,20.77,2412,0,0,12,0.89,1345,502,484,448,10.28,4359,0,0,1,0.04,2248,936,739,826,13.18,6265,56.53,60.72,61.17,25.7,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,70.58,65.08,59.76,32.39,184.5,47.62,50.19,51.78,20.71,250,31.02,30.38,38.21,25.47,150,53.34,60.38,61.34,23.18,264.6,44.77,53.36,70.92,42.62,166.4
02:00,2223,1922,2153,10.72,20077,0,0,14,0.24,5788,2223,1922,2139,14.97,14289,304,315,358,17.86,2004,0,0,0,0,750,304,315,358,28.55,1254,0,0,1,0.07,1445,489,387,505,20.94,2412,0,0,12,0.89,1345,495,480,458,10.51,4359,0,0,1,0.04,2248,935,739,819,13.07,6265,57.01,59.69,63.62,26.73,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,70.48,65,67.72,36.7,184.5,47.32,49.34,52.52,21.01,250,30.64,29.83,36.19,24.13,150,54.97,59.3,67.39,25.47,264.6,43.67,51.96,70.36,42.28,166.4
02:15,2248,1918,2205,10.98,20077,0,0,14,0.24,5788,2248,1918,2192,15.34,14289,305,311,357,17.81,2004,0,0,0,0,750,305,311,357,28.47,1254,0,0,1,0.07,1445,517,389,543,22.51,2412,0,0,12,0.89,1345,486,476,467,10.71,4359,0,0,1,0.04,2248,939,742,824,13.15,6265,57.71,58.76,59.27,24.9,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,70.39,64.9,62.4,33.82,184.5,47.36,48.63,53.93,21.57,250,30.27,29.3,38.09,25.39,150,56.73,58.52,72.02,27.22,264.6,42.62,50.6,71.63,43.05,166.4
