"Time Stamp",WR_WR_COMBINED_R0,WR_WR_COMBINED_16,WR_WR_COMBINED_Act,WR_WR_COMBINED_CUF,WR_WR_COMBINED_AVC,"WR_WR_SOLAR _R0","WR_WR_SOLAR _16","WR_WR_SOLAR _Act","WR_WR_SOLAR _CUF","WR_WR_SOLAR _AVC","WR_WR_WIND _R0","WR_WR_WIND _16","WR_WR_WIND _Act","WR_WR_WIND _CUF","WR_WR_WIND _AVC",WR-ISTS_WR-ISTS_COMBINED_R0,WR-ISTS_WR-ISTS_COMBINED_16,WR-ISTS_WR-ISTS_COMBINED_Act,WR-ISTS_WR-ISTS_COMBINED_CUF,WR-ISTS_WR-ISTS_COMBINED_AVC,"WR-ISTS_WR-ISTS_SOLAR _R0","WR-ISTS_WR-ISTS_SOLAR _16","WR-ISTS_WR-ISTS_SOLAR _Act","WR-ISTS_WR-ISTS_SOLAR _CUF","WR-ISTS_WR-ISTS_SOLAR _AVC","WR-ISTS_WR-ISTS_WIND _R0","WR-ISTS_WR-ISTS_WIND _16","WR-ISTS_WR-ISTS_WIND _Act","WR-ISTS_WR-ISTS_WIND _CUF","WR-ISTS_WR-ISTS_WIND _AVC","Madhya Pradesh_Madhya Pradesh_SOLAR _R0","Madhya Pradesh_Madhya Pradesh_SOLAR _16","Madhya Pradesh_Madhya Pradesh_SOLAR _Act","Madhya Pradesh_Madhya Pradesh_SOLAR _CUF","Madhya Pradesh_Madhya Pradesh_SOLAR _AVC","Madhya Pradesh_Madhya Pradesh_WIND _R0","Madhya Pradesh_Madhya Pradesh_WIND _16","Madhya Pradesh_Madhya Pradesh_WIND _Act","Madhya Pradesh_Madhya Pradesh_WIND _CUF","Madhya Pradesh_Madhya Pradesh_WIND _AVC","Maharastra_Maharastra_SOLAR _R0","Maharastra_Maharastra_SOLAR _16","Maharastra_Maharastra_SOLAR _Act","Maharastra_Maharastra_SOLAR _CUF","Maharastra_Maharastra_SOLAR _AVC","Maharastra_Maharastra_WIND _R0","Maharastra_Maharastra_WIND _16","Maharastra_Maharastra_WIND _Act","Maharastra_Maharastra_WIND _CUF","Maharastra_Maharastra_WIND _AVC","Gujarat_Gujarat_SOLAR _R0","Gujarat_Gujarat_SOLAR _16","Gujarat_Gujarat_SOLAR _Act","Gujarat_Gujarat_SOLAR _CUF","Gujarat_Gujarat_SOLAR _AVC","Gujarat_Gujarat_WIND _R0","Gujarat_Gujarat_WIND _16","Gujarat_Gujarat_WIND _Act","Gujarat_Gujarat_WIND _CUF","Gujarat_Gujarat_WIND _AVC",OKWPL_RE-WIND_WIND_R0,OKWPL_RE-WIND_WIND_16,OKWPL_RE-WIND_WIND_Act,OKWPL_RE-WIND_WIND_CUF,OKWPL_RE-WIND_WIND_AVC,Acme_RUMS-SOLAR_SOLAR_R0,Acme_RUMS-SOLAR_SOLAR_16,Acme_RUMS-SOLAR_SOLAR_Act,Acme_RUMS-SOLAR_SOLAR_CUF,Acme_RUMS-SOLAR_SOLAR_AVC,Arinsun_RUMS-SOLAR_SOLAR_R0,Arinsun_RUMS-SOLAR_SOLAR_16,Arinsun_RUMS-SOLAR_SOLAR_Act,Arinsun_RUMS-SOLAR_SOLAR_CUF,Arinsun_RUMS-SOLAR_SOLAR_AVC,Mahindra_RUMS-SOLAR_SOLAR_R0,Mahindra_RUMS-SOLAR_SOLAR_16,Mahindra_RUMS-SOLAR_SOLAR_Act,Mahindra_RUMS-SOLAR_SOLAR_CUF,Mahindra_RUMS-SOLAR_SOLAR_AVC,RPL_SECI-II_RE-WIND_WIND_R0,RPL_SECI-II_RE-WIND_WIND_16,RPL_SECI-II_RE-WIND_WIND_Act,RPL_SECI-II_RE-WIND_WIND_CUF,RPL_SECI-II_RE-WIND_WIND_AVC,GIWEL_SECI-II_RE-WIND_WIND_R0,GIWEL_SECI-II_RE-WIND_WIND_16,GIWEL_SECI-II_RE-WIND_WIND_Act,GIWEL_SECI-II_RE-WIND_WIND_CUF,GIWEL_SECI-II_RE-WIND_WIND_AVC,IWISL-WIND_WIND_R0,IWISL-WIND_WIND_16,IWISL-WIND_WIND_Act,IWISL-WIND_WIND_CUF,IWISL-WIND_WIND_AVC,GIWEL_SECI-III_RE-WIND_WIND_R0,GIWEL_SECI-III_RE-WIND_WIND_16,GIWEL_SECI-III_RE-WIND_WIND_Act,GIWEL_SECI-III_RE-WIND_WIND_CUF,GIWEL_SECI-III_RE-WIND_WIND_AVC,AGEMPL-WIND_WIND_R0,AGEMPL-WIND_WIND_16,AGEMPL-WIND_WIND_Act,AGEMPL-WIND_WIND_CUF,AGEMPL-WIND_WIND_AVC
00:00,2557,2413,1916,9.23,20755,0,0,15,0.26,5829,2557,2413,1901,12.74,14926,324,423,326,16.31,1999,0,0,0,0,750,324,423,326,26.1,1249,0,0,1,0.07,1445,550,318,342,14.18,2412,0,0,13,0.94,1386,641,641,496,9.92,5000,0,0,1,0.04,2248,1042,1031,737,11.76,6265,53.52,63.29,65.26,27.42,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,71.86,81.84,58.47,31.69,184.5,55.56,70.01,51.32,20.53,250,35.68,47.33,32.26,21.51,150,62.71,89.21,62.09,23.47,264.6,45.04,71.62,56.32,34.72,162.2
00:15,2604,2401,1968,9.48,20759,0,0,14,0.24,5829,2604,2401,1954,13.09,14930,325,408,347,17.32,2004,0,0,0,0,750,325,408,347,27.67,1254,0,0,1,0.07,1445,596,326,373,15.46,2412,0,0,12,0.87,1386,642,642,499,9.98,5000,0,0,1,0.04,2248,1041,1025,735,11.73,6265,53.62,62.92,66.41,27.9,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,71.37,74.14,65.34,35.41,184.5,56.97,71.9,55.28,22.11,250,35.58,46.3,33.43,22.29,150,63.33,81.91,67.08,25.35,264.6,44.28,70.68,59.65,35.85,166.4
00:30,2621,2415,2011,9.69,20759,0,0,14,0.24,5829,2621,2415,1997,13.38,14930,323,414,344,17.17,2004,0,0,0,0,750,323,414,344,27.43,1254,0,0,1,0.07,1445,620,343,392,16.25,2412,0,0,12,0.87,1386,641,641,501,10.02,5000,0,0,1,0.04,2248,1038,1017,760,12.13,6265,52.77,62.25,64.29,27.01,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,71.13,76.94,53.4,28.94,184.5,56.27,67.95,56.55,22.62,250,35.24,45.61,35.54,23.69,150,63.32,86.18,70.21,26.53,264.6,43.95,74.87,63.62,38.23,166.4
00:45,2639,2476,2080,10.02,20759,0,0,14,0.24,5829,2639,2476,2067,13.84,14930,319,418,343,17.12,2004,0,0,0,0,750,319,418,343,27.35,1254,0,0,1,0.07,1445,640,387,394,16.33,2412,0,0,12,0.87,1386,650,650,529,10.58,5000,0,0,1,0.04,2248,1031,1022,800,12.77,6265,51.94,62.45,61.91,26.01,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,71.01,71.91,41.39,22.43,184.5,55.19,71.8,60.03,24.01,250,34.46,45.4,35.88,23.92,150,62.89,89.99,76.67,28.98,264.6,43.34,76.63,67.32,40.46,166.4
01:00,2646,2502,2171,10.46,20759,0,0,14,0.24,5829,2646,2502,2157,14.45,14930,311,422,351,17.51,2004,0,0,0,0,750,311,422,351,27.99,1254,0,0,1,0.07,1445,658,412,415,17.21,2412,0,0,12,0.87,1386,652,652,536,10.72,5000,0,0,1,0.04,2248,1024,1016,855,13.65,6265,50.57,61.16,59.54,25.02,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,70.01,71.92,42.52,23.05,184.5,53.65,79.04,63.56,25.42,250,33.48,43.97,37.69,25.13,150,61.83,90.72,80.82,30.54,264.6,41.89,74.78,66.39,39.9,166.4
01:15,2649,2522,2271,10.94,20759,0,0,14,0.24,5829,2649,2522,2258,15.12,14930,288,422,356,17.76,2004,0,0,0,0,750,288,422,356,28.39,1254,0,0,1,0.07,1445,691,435,476,19.73,2412,0,0,12,0.87,1386,656,656,538,10.76,5000,0,0,1,0.04,2248,1014,1009,888,14.17,6265,45.27,60.64,60.77,25.53,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,63.03,75.77,53.43,28.96,184.5,49.61,79.22,57.87,23.15,250,29.57,44.12,39.67,26.45,150,61.59,90.12,71.5,27.02,264.6,38.61,72.22,72.41,43.52,166.4
01:30,2645,2331,2283,11,20759,0,0,14,0.24,5829,2645,2331,2269,15.2,14930,280,330,342,17.07,2004,0,0,0,0,750,280,330,342,27.27,1254,0,0,1,0.07,1445,703,467,517,21.43,2412,0,0,12,0.87,1386,661,605,536,10.72,5000,0,0,1,0.04,2248,1002,929,874,13.95,6265,44.24,59.95,59.44,24.97,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,62.63,60.62,55.78,30.23,184.5,47.82,53.46,51.16,20.46,250,28.67,34.48,39.44,26.29,150,59.47,68.92,62.27,23.53,264.6,36.84,52.58,73.7,44.29,166.4
01:45,2650,2358,2217,10.68,20759,0,0,14,0.24,5829,2650,2358,2203,14.76,14930,274,327,343,17.12,2004,0,0,0,0,750,274,327,343,27.35,1254,0,0,1,0.07,1445,710,495,501,20.77,2412,0,0,12,0.87,1386,670,613,533,10.66,5000,0,0,1,0.04,2248,996,923,826,13.18,6265,43.72,59.59,61.17,25.7,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,62.8,61.55,59.76,32.39,184.5,46.78,52.29,51.78,20.71,250,27.54,33.86,38.21,25.47,150,57.91,67.98,61.34,23.18,264.6,35,51.57,70.92,42.62,166.4
02:00,2652,2366,2242,10.8,20759,0,0,14,0.24,5829,2652,2366,2228,14.92,14930,269,321,358,17.86,2004,0,0,0,0,750,269,321,358,28.55,1254,0,0,1,0.07,1445,716,499,505,20.94,2412,0,0,12,0.87,1386,678,625,546,10.92,5000,0,0,1,0.04,2248,990,921,819,13.07,6265,43.16,58.07,63.62,26.73,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,62.37,60.71,67.72,36.7,184.5,46.05,51.06,52.52,21.01,250,26.73,33.21,36.19,24.13,150,56.95,67.31,67.39,25.47,264.6,33.61,50.35,70.36,42.28,166.4
02:15,2648,2374,2285,11.01,20759,0,0,14,0.24,5829,2648,2374,2271,15.21,14930,263,314,357,17.81,2004,0,0,0,0,750,263,314,357,28.47,1254,0,0,1,0.07,1445,719,500,543,22.51,2412,0,0,12,0.87,1386,683,640,547,10.94,5000,0,0,1,0.04,2248,983,920,824,13.15,6265,42.49,57.81,59.27,24.9,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,61.84,58.36,62.4,33.82,184.5,44.74,51.82,53.93,21.57,250,25.92,31.76,38.09,25.39,150,55.81,65.42,72.02,27.22,264.6,32.47,49.07,71.63,43.05,166.4
02:30,2642,2373,2310,11.13,20759,0,0,14,0.24,5829,2642,2373,2296,15.38,14930,260,308,339,16.92,2004,0,0,0,0,750,260,308,339,27.03,1254,0,0,1,0.07,1445,720,503,603,25,2412,0,0,12,0.87,1386,688,647,543,10.86,5000,0,0,1,0.04,2248,975,915,812,12.96,6265,42.11,56.57,51.83,21.78,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,61.95,57.5,51.93,28.15,184.5,43.57,50.67,59.76,23.9,250,25.61,31.27,36.68,24.45,150,55.24,64.57,73.58,27.81,264.6,31.75,47.9,64.8,38.94,166.4
02:45,2616,2358,2280,10.98,20759,0,0,14,0.24,5829,2616,2358,2267,15.18,14930,258,300,312,15.57,2004,0,0,0,0,750,258,300,312,24.88,1254,0,0,1,0.07,1445,714,504,621,25.75,2412,0,0,12,0.87,1386,688,648,553,11.06,5000,0,0,1,0.04,2248,956,905,780,12.45,6265,41.57,54.94,44.81,18.83,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,61.75,56.83,40.32,21.85,184.5,43.1,49.11,57.7,23.08,250,25.07,29.68,35.52,23.68,150,55.04,63.24,68.64,25.94,264.6,31.14,46.63,65.13,39.14,166.4
