"Time Stamp",WR_WR_COMBINED_R0,WR_WR_COMBINED_16,WR_WR_COMBINED_Act,WR_WR_COMBINED_CUF,WR_WR_COMBINED_AVC,"WR_WR_SOLAR _R0","WR_WR_SOLAR _16","WR_WR_SOLAR _Act","WR_WR_SOLAR _CUF","WR_WR_SOLAR _AVC","WR_WR_WIND _R0","WR_WR_WIND _16","WR_WR_WIND _Act","WR_WR_WIND _CUF","WR_WR_WIND _AVC",WR-ISTS_WR-ISTS_COMBINED_R0,WR-ISTS_WR-ISTS_COMBINED_16,WR-ISTS_WR-ISTS_COMBINED_Act,WR-ISTS_WR-ISTS_COMBINED_CUF,WR-ISTS_WR-ISTS_COMBINED_AVC,"WR-ISTS_WR-ISTS_SOLAR _R0","WR-ISTS_WR-ISTS_SOLAR _16","WR-ISTS_WR-ISTS_SOLAR _Act","WR-ISTS_WR-ISTS_SOLAR _CUF","WR-ISTS_WR-ISTS_SOLAR _AVC","WR-ISTS_WR-ISTS_WIND _R0","WR-ISTS_WR-ISTS_WIND _16","WR-ISTS_WR-ISTS_WIND _Act","WR-ISTS_WR-ISTS_WIND _CUF","WR-ISTS_WR-ISTS_WIND _AVC","Madhya Pradesh_Madhya Pradesh_SOLAR _R0","Madhya Pradesh_Madhya Pradesh_SOLAR _16","Madhya Pradesh_Madhya Pradesh_SOLAR _Act","Madhya Pradesh_Madhya Pradesh_SOLAR _CUF","Madhya Pradesh_Madhya Pradesh_SOLAR _AVC","Madhya Pradesh_Madhya Pradesh_WIND _R0","Madhya Pradesh_Madhya Pradesh_WIND _16","Madhya Pradesh_Madhya Pradesh_WIND _Act","Madhya Pradesh_Madhya Pradesh_WIND _CUF","Madhya Pradesh_Madhya Pradesh_WIND _AVC","Maharastra_Maharastra_SOLAR _R0","Maharastra_Maharastra_SOLAR _16","Maharastra_Maharastra_SOLAR _Act","Maharastra_Maharastra_SOLAR _CUF","Maharastra_Maharastra_SOLAR _AVC","Maharastra_Maharastra_WIND _R0","Maharastra_Maharastra_WIND _16","Maharastra_Maharastra_WIND _Act","Maharastra_Maharastra_WIND _CUF","Maharastra_Maharastra_WIND _AVC","Gujarat_Gujarat_SOLAR _R0","Gujarat_Gujarat_SOLAR _16","Gujarat_Gujarat_SOLAR _Act","Gujarat_Gujarat_SOLAR _CUF","Gujarat_Gujarat_SOLAR _AVC","Gujarat_Gujarat_WIND _R0","Gujarat_Gujarat_WIND _16","Gujarat_Gujarat_WIND _Act","Gujarat_Gujarat_WIND _CUF","Gujarat_Gujarat_WIND _AVC",OKWPL_RE-WIND_WIND_R0,OKWPL_RE-WIND_WIND_16,OKWPL_RE-WIND_WIND_Act,OKWPL_RE-WIND_WIND_CUF,OKWPL_RE-WIND_WIND_AVC,Acme_RUMS-SOLAR_SOLAR_R0,Acme_RUMS-SOLAR_SOLAR_16,Acme_RUMS-SOLAR_SOLAR_Act,Acme_RUMS-SOLAR_SOLAR_CUF,Acme_RUMS-SOLAR_SOLAR_AVC,Arinsun_RUMS-SOLAR_SOLAR_R0,Arinsun_RUMS-SOLAR_SOLAR_16,Arinsun_RUMS-SOLAR_SOLAR_Act,Arinsun_RUMS-SOLAR_SOLAR_CUF,Arinsun_RUMS-SOLAR_SOLAR_AVC,Mahindra_RUMS-SOLAR_SOLAR_R0,Mahindra_RUMS-SOLAR_SOLAR_16,Mahindra_RUMS-SOLAR_SOLAR_Act,Mahindra_RUMS-SOLAR_SOLAR_CUF,Mahindra_RUMS-SOLAR_SOLAR_AVC,RPL_SECI-II_RE-WIND_WIND_R0,RPL_SECI-II_RE-WIND_WIND_16,RPL_SECI-II_RE-WIND_WIND_Act,RPL_SECI-II_RE-WIND_WIND_CUF,RPL_SECI-II_RE-WIND_WIND_AVC,GIWEL_SECI-II_RE-WIND_WIND_R0,GIWEL_SECI-II_RE-WIND_WIND_16,GIWEL_SECI-II_RE-WIND_WIND_Act,GIWEL_SECI-II_RE-WIND_WIND_CUF,GIWEL_SECI-II_RE-WIND_WIND_AVC,IWISL-WIND_WIND_R0,IWISL-WIND_WIND_16,IWISL-WIND_WIND_Act,IWISL-WIND_WIND_CUF,IWISL-WIND_WIND_AVC,GIWEL_SECI-III_RE-WIND_WIND_R0,GIWEL_SECI-III_RE-WIND_WIND_16,GIWEL_SECI-III_RE-WIND_WIND_Act,GIWEL_SECI-III_RE-WIND_WIND_CUF,GIWEL_SECI-III_RE-WIND_WIND_AVC,AGEMPL-WIND_WIND_R0,AGEMPL-WIND_WIND_16,AGEMPL-WIND_WIND_Act,AGEMPL-WIND_WIND_CUF,AGEMPL-WIND_WIND_AVC
00:00,2037,2287,1895,9.18,20652,0,0,9,0.16,5789,2037,2287,1886,12.69,14864,56,377,326,16.31,1999,0,0,0,0,750,56,377,326,26.1,1249,0,0,1,0.07,1430,625,372,342,14.18,2412,0,0,8,0.59,1361,591,508,481,9.74,4937,0,0,1,0.04,2248,764,1030,737,11.76,6265,3.08,68.83,65.26,27.42,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,31.62,72.29,58.47,31.69,184.5,0,63.8,51.32,20.53,250,11.43,38.5,32.26,21.51,150,0,73.29,62.09,23.47,264.6,10.33,60.12,56.32,34.72,162.2
00:15,2080,2295,1947,9.43,20657,0,0,8,0.14,5789,2080,2295,1939,13.04,14868,59,375,347,17.32,2004,0,0,0,0,750,59,375,347,27.67,1254,0,0,1,0.07,1430,651,381,373,15.46,2412,0,0,6,0.44,1361,594,505,484,9.8,4937,0,0,1,0.04,2248,776,1034,735,11.73,6265,3.34,68.12,66.41,27.9,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,32.67,70.22,65.34,35.41,184.5,0,65.48,55.28,22.11,250,11.84,37.47,33.43,22.29,150,0,73.47,67.08,25.35,264.6,10.68,60.2,59.65,35.85,166.4
00:30,2124,2296,1988,9.62,20657,0,0,8,0.14,5789,2124,2296,1980,13.32,14868,61,366,344,17.17,2004,0,0,0,0,750,61,366,344,27.43,1254,0,0,1,0.07,1430,678,399,392,16.25,2412,0,0,6,0.44,1361,597,505,485,9.82,4937,0,0,1,0.04,2248,788,1026,760,12.13,6265,3.62,66.31,64.29,27.01,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,33.73,70.45,53.4,28.94,184.5,0,62.08,56.55,22.62,250,12.26,37.08,35.54,23.69,150,0,71.67,70.21,26.53,264.6,11.04,58.7,63.62,38.23,166.4
00:45,2134,2321,2058,9.96,20657,0,0,8,0.14,5789,2134,2321,2050,13.79,14868,61,361,343,17.12,2004,0,0,0,0,750,61,361,343,27.35,1254,0,0,1,0.07,1430,680,417,394,16.33,2412,0,0,6,0.44,1361,593,506,513,10.39,4937,0,0,1,0.04,2248,800,1038,800,12.77,6265,3.76,65.39,61.91,26.01,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,33.73,68.93,41.39,22.43,184.5,0,60.01,60.03,24.01,250,12.38,37.34,35.88,23.92,150,0,70.6,76.67,28.98,264.6,11.14,58.45,67.32,40.46,166.4
01:00,2145,2327,2151,10.41,20657,0,0,8,0.14,5789,2145,2327,2143,14.41,14868,61,349,351,17.51,2004,0,0,0,0,750,61,349,351,27.99,1254,0,0,1,0.07,1430,682,427,415,17.21,2412,0,0,6,0.44,1361,590,512,522,10.57,4937,0,0,1,0.04,2248,811,1039,855,13.65,6265,3.9,62.88,59.54,25.02,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,33.73,64.21,42.52,23.05,184.5,0,59.38,63.56,25.42,250,12.49,36.53,37.69,25.13,150,0,69.38,80.82,30.54,264.6,11.25,56.54,66.39,39.9,166.4
01:15,2157,2331,2253,10.91,20657,0,0,8,0.14,5789,2157,2331,2245,15.1,14868,62,347,356,17.76,2004,0,0,0,0,750,62,347,356,28.39,1254,0,0,1,0.07,1430,685,432,476,19.73,2412,0,0,6,0.44,1361,587,515,525,10.63,4937,0,0,1,0.04,2248,823,1036,888,14.17,6265,4.05,62.08,60.77,25.53,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,33.73,67.88,53.43,28.96,184.5,0,58.24,57.87,23.15,250,12.61,36.73,39.67,26.45,150,0,68.29,71.5,27.02,264.6,11.35,53.39,72.41,43.52,166.4
01:30,2170,2206,2263,10.96,20657,0,0,8,0.14,5789,2170,2206,2255,15.17,14868,62,319,342,17.07,2004,0,0,0,0,750,62,319,342,27.27,1254,0,0,1,0.07,1430,688,488,517,21.43,2412,0,0,6,0.44,1361,584,518,522,10.57,4937,0,0,1,0.04,2248,836,881,874,13.95,6265,4.2,62.94,59.44,24.97,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,33.73,57.87,55.78,30.23,184.5,0,53.42,51.16,20.46,250,12.72,31.68,39.44,26.29,150,0,64.27,62.27,23.53,264.6,11.46,48.79,73.7,44.29,166.4
01:45,2162,2211,2195,10.63,20657,0,0,8,0.14,5789,2162,2211,2187,14.71,14868,63,321,343,17.12,2004,0,0,0,0,750,63,321,343,27.35,1254,0,0,1,0.07,1430,665,486,501,20.77,2412,0,0,6,0.44,1361,592,525,516,10.45,4937,0,0,1,0.04,2248,842,880,826,13.18,6265,4.42,63.8,61.17,25.7,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,34.43,61.08,59.76,32.39,184.5,0,52.54,51.78,20.71,250,12.67,30.71,38.21,25.47,150,0,63.78,61.34,23.18,264.6,11.33,48.77,70.92,42.62,166.4
02:00,2155,2221,2220,10.75,20657,0,0,8,0.14,5789,2155,2221,2212,14.88,14868,64,315,358,17.86,2004,0,0,0,0,750,64,315,358,28.55,1254,0,0,1,0.07,1430,644,488,505,20.94,2412,0,0,6,0.44,1361,600,536,530,10.74,4937,0,0,1,0.04,2248,848,883,819,13.07,6265,4.63,61.05,63.62,26.73,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,35.13,59.73,67.72,36.7,184.5,0,52.09,52.52,21.01,250,12.63,29.84,36.19,24.13,150,0,63.29,67.39,25.47,264.6,11.2,48.63,70.36,42.28,166.4
02:15,2151,2212,2262,10.95,20657,0,0,8,0.14,5789,2151,2212,2254,15.16,14868,64,308,357,17.81,2004,0,0,0,0,750,64,308,357,28.47,1254,0,0,1,0.07,1430,622,482,543,22.51,2412,0,0,6,0.44,1361,609,541,529,10.72,4937,0,0,1,0.04,2248,855,881,824,13.15,6265,4.86,58.76,59.27,24.9,238,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,35.84,57.67,62.4,33.82,184.5,0,51.29,53.93,21.57,250,12.59,29.65,38.09,25.39,150,0,62.81,72.02,27.22,264.6,11.08,47.51,71.63,43.05,166.4
